Tally N.,Tally Description,Energy,Value,Error
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,2.2147e-07,0.0028
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.14e-07,3.85161e-08,0.0066
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.316e-07,1.78364e-09,0.0331
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.826e-07,1.76755e-09,0.0339
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.764e-07,1.83436e-09,0.0356
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.125e-06,1.87739e-09,0.0468
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,1.93944e-09,0.0346
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.855e-06,1.89447e-09,0.0348
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.382e-06,1.77849e-09,0.0379
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,1.79735e-09,0.0321
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.928e-06,1.8663e-09,0.0367
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043e-06,1.88147e-09,0.0341
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.476e-06,1.83971e-09,0.0351
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.315e-06,1.94792e-09,0.0356
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.068e-05,1.88226e-09,0.0347
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,2.00856e-09,0.0331
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.76e-05,1.88606e-09,0.0365
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.26e-05,2.00171e-09,0.0416
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.902e-05,1.93276e-09,0.0355
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.727e-05,1.91638e-09,0.0385
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.785e-05,1.83839e-09,0.0345
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.144e-05,1.98698e-09,0.0378
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889e-05,1.9663e-09,0.0321
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,2.00431e-09,0.0344
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001301,2.26617e-09,0.0425
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000167,2.09205e-09,0.0376
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002145,2.09906e-09,0.0332
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002754,2.09775e-09,0.0383
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0003536,2.10798e-09,0.0342
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,2.09888e-09,0.0358
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0005829,2.05432e-09,0.0347
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485,2.15446e-09,0.0325
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0009611,2.25342e-09,0.0323
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001234,2.28563e-09,0.0465
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001585,2.19341e-09,0.0329
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002035,2.22623e-09,0.0316
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002249,9.42644e-10,0.0561
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002485,9.8239e-10,0.046
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002613,5.1231e-10,0.0638
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002747,4.70275e-10,0.075
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003035,8.94315e-10,0.0462
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003355,9.51672e-10,0.0477
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003707,9.76375e-10,0.0573
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.004307,1.49675e-09,0.0375
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.005531,2.43749e-09,0.0288
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.007102,2.50734e-09,0.0297
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.009119,2.57966e-09,0.0345
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01059,1.57871e-09,0.0422
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01171,1.10032e-09,0.0464
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01503,2.92196e-09,0.0394
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193,2.7683e-09,0.0305
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02187,1.59005e-09,0.042
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02358,9.60002e-10,0.0644
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02418,3.41966e-10,0.079
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02479,3.47042e-10,0.1755
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02606,6.0322e-10,0.0596
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,4.1686e-10,0.066
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0285,6.76132e-10,0.0553
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03183,1.35478e-09,0.0382
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03431,9.85752e-10,0.048
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04087,2.52973e-09,0.0332
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04631,1.77063e-09,0.038
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.05248,1.84654e-09,0.0346
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.05656,1.11594e-09,0.0445
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.06738,2.8375e-09,0.0315
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.07202,1.1728e-09,0.0421
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0795,1.72738e-09,0.0374
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0825,7.09567e-10,0.0692
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.08652,8.33623e-10,0.0525
