Tally N.,Tally Description,Energy,Value,Error
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.14e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.316e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.826e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.764e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.125e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.855e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.382e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.928e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.476e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.315e-06,7.59706e-14,0.7507
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.068e-05,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.76e-05,2.8943e-13,0.824
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.26e-05,1.32881e-13,0.477
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.902e-05,4.26384e-14,0.7221
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.727e-05,5.02865e-14,0.7659
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.785e-05,1.69427e-13,0.4439
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.144e-05,1.64692e-13,0.4109
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889e-05,6.20037e-13,0.3633
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,6.42479e-13,0.3107
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001301,8.7222e-13,0.196
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000167,2.13813e-12,0.1874
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002145,2.47128e-12,0.1261
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002754,3.71522e-12,0.1036
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0003536,5.55686e-12,0.1044
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,9.96576e-12,0.062
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0005829,1.69975e-11,0.0491
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485,2.55477e-11,0.0406
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0009611,4.82092e-11,0.0358
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001234,7.65554e-11,0.0237
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001585,1.33991e-10,0.0179
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002035,2.17609e-10,0.0147
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002249,1.20697e-10,0.0217
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002485,1.48643e-10,0.0176
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002613,8.38231e-11,0.0234
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002747,9.1043e-11,0.0254
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003035,2.12514e-10,0.0161
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003355,2.5382e-10,0.0139
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003707,2.90533e-10,0.013
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.004307,5.40117e-10,0.0091
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.005531,1.22652e-09,0.0064
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.007102,1.74375e-09,0.0056
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.009119,2.37959e-09,0.0045
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01059,1.79861e-09,0.0053
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01171,1.3706e-09,0.0056
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01503,4.09494e-09,0.0035
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193,5.09658e-09,0.0031
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02187,2.67459e-09,0.0043
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02358,1.85197e-09,0.005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02418,6.54757e-10,0.009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02479,6.56108e-10,0.0082
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02606,1.37108e-09,0.0061
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,9.87517e-10,0.0066
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0285,1.57219e-09,0.0057
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03183,3.41835e-09,0.0037
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03431,2.48704e-09,0.0043
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04087,6.31682e-09,0.0027
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04631,5.01924e-09,0.0031
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.05248,5.44494e-09,0.0029
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.05656,3.47812e-09,0.0039
