Tally N.,Tally Description,Energy,Value,Error
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.14e-07,2.06584e-14,1.0
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.316e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.826e-07,2.05321e-13,0.3505
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.764e-07,1.61364e-12,0.1098
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.125e-06,1.05901e-11,0.0547
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,1.74466e-11,0.0404
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.855e-06,2.42695e-11,0.0391
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.382e-06,3.51895e-11,0.0317
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,5.01876e-11,0.0277
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.928e-06,6.95791e-11,0.024
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043e-06,9.88181e-11,0.0205
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.476e-06,1.34409e-10,0.0221
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.315e-06,1.7957e-10,0.0175
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.068e-05,2.50429e-10,0.0153
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,3.2376e-10,0.0127
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.76e-05,4.34266e-10,0.0117
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.26e-05,5.80982e-10,0.0098
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.902e-05,7.52538e-10,0.0091
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.727e-05,9.82437e-10,0.0086
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.785e-05,1.26094e-09,0.007
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.144e-05,1.64797e-09,0.0064
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889e-05,2.10152e-09,0.0055
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,2.67686e-09,0.0048
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001301,3.01736e-09,0.0043
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000167,4.35289e-09,0.0038
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002145,5.53076e-09,0.0034
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002754,6.83217e-09,0.003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0003536,7.90361e-09,0.0027
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,9.89475e-09,0.002
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0005829,1.39251e-08,0.002
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485,1.76676e-08,0.0019
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0009611,2.37966e-08,0.0016
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001234,2.70437e-08,0.0014
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001585,3.93872e-08,0.0012
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002035,4.84819e-08,0.0011
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002249,2.21982e-08,0.0016
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002485,2.82656e-08,0.0013
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002613,2.13809e-08,0.0015
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002747,1.68086e-08,0.0017
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003035,2.62977e-08,0.0015
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003355,3.29813e-08,0.0013
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003707,4.31219e-08,0.0012
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.004307,6.74779e-08,0.0009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.005531,1.32363e-07,0.0007
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.007102,1.88885e-07,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.009119,2.156e-07,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01059,2.48904e-07,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01171,9.55397e-08,0.0008
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01503,3.82028e-07,0.0004
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193,5.05747e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02187,3.05569e-07,0.0004
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02358,2.03592e-07,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02418,7.14244e-08,0.0009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02479,7.2655e-08,0.0009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02606,1.51273e-07,0.0006
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,1.12078e-07,0.0007
